sheet,participant,condition,n_samples,fs_hz,logged_duration_s,window_method,turn_time_s,turn_peak_gyro_mag,onset_s,offset_s,detected_duration_s,duration_diff_s,window_clipped,bout_onset_s,bout_offset_s,bout_duration_s,bout_duration_diff_s,n_bouts,trial_notes
SWEAT_008DTG2,SWEAT-008,DTG2,88573,100.0,21.0,turn_anchored,303.22,2.4699884741477467,292.72,313.72,21.0,0.0,False,242.72,366.47,123.75,102.75,56,
SWEAT_008DTG3,SWEAT-008,DTG3,3549,100.0,17.0,turn_anchored,13.35,285.96838790177213,4.85,21.85,17.0,0.0,False,5.26,30.45,25.19,8.190000000000001,2,
SWEAT_009DTGTRIAL,SWEAT-009,DTG_TRIAL,4761,100.0,23.0,turn_anchored,19.26,248.15012587487834,7.76,30.76,23.0,0.0,False,4.7,37.44,32.74,9.740000000000002,2,
SWEAT_009DTG1,SWEAT-009,DTG1,7854,100.0,23.0,turn_anchored,22.67,280.2022377755138,11.17,34.17,23.0,0.0,False,11.08,56.55,45.47,22.47,7,
SWEAT_009DTG2,SWEAT-009,DTG2,8460,100.0,23.0,turn_anchored,27.93,255.8210038523141,16.43,39.43,23.0,0.0,False,11.86,44.81,32.95,9.950000000000003,9,
SWEAT_009DTG3,SWEAT-009,DTG3,4742,100.0,21.0,turn_anchored,17.02,250.68417985762,6.52,27.52,21.0,0.0,False,6.73,36.95,30.22,9.219999999999999,3,
SWEAT_010DTGTRIAL,SWEAT-010,DTG_TRIAL,2474,100.0,24.0,turn_anchored,11.86,182.47770016159896,0.0,23.86,23.86,-0.14000000000000057,True,0.12,21.57,21.45,-2.5500000000000007,2,
SWEAT_010DTG1,SWEAT-010,DTG1,2584,100.0,25.0,turn_anchored,12.11,181.749258464922,0.0,24.61,24.61,-0.39000000000000057,True,0.0,25.73,25.73,0.7300000000000004,1,
SWEAT_010DTG2,SWEAT-010,DTG2,2296,100.0,23.0,turn_anchored,11.36,220.6955541980958,0.0,22.86,22.86,-0.14000000000000057,True,7.95,22.83,14.88,-8.12,2,
SWEAT_010DTG3,SWEAT-010,DTG3,6708,100.0,23.0,turn_anchored,27.48,232.40502869321674,15.98,38.98,23.0,0.0,False,9.98,52.35,42.37,19.369999999999997,2,
SWEAT_011DTGTRIAL,SWEAT-011,DTG_TRIAL,8679,100.0,32.0,turn_anchored,25.69,199.30062864460277,9.69,41.69,32.0,0.0,False,9.51,50.89,41.38,9.380000000000003,4,
SWEAT_011DTG1,SWEAT-011,DTG1,4837,100.0,29.0,turn_anchored,21.09,229.37635269823733,6.59,35.59,29.0,0.0,False,6.35,40.76,34.41,5.409999999999997,3,
SWEAT_011DTG2,SWEAT-011,DTG2,6875,100.0,26.0,turn_anchored,21.35,204.81377269027604,8.35,34.35,26.0,0.0,False,7.88,52.84,44.96,18.96,2,
SWEAT_011DTG3,SWEAT-011,DTG3,5208,100.0,31.0,turn_anchored,23.56,224.7072724780889,8.06,39.06,31.0,0.0,False,8.49,45.18,36.69,5.689999999999998,3,
SWEAT_012DTGTRIAL,SWEAT-012,DTG_TRIAL,5444,100.0,28.0,turn_anchored,26.39,152.54250500570654,12.39,40.39,28.0,0.0,False,8.97,54.4,45.43,17.43,1,
SWEAT_012DTG1,SWEAT-012,DTG1,7168,100.0,26.0,turn_anchored,47.03,188.96175875660344,34.03,60.03,26.0,0.0,False,32.78,71.67,38.89,12.89,3,
SWEAT_012DTG2,SWEAT-012,DTG2,7627,100.0,22.0,turn_anchored,18.05,182.721129942473,7.05,29.05,22.0,0.0,False,5.4,45.53,40.13,18.130000000000003,3,
SWEAT_012DTG3,SWEAT-012,DTG3,8085,100.0,19.0,turn_anchored,18.84,191.72535252191742,9.34,28.34,19.0,0.0,False,2.36,60.59,58.23,39.23,3,
SWEAT_014DTG TRIAL,SWEAT-014,DTG_TRIAL,2314,100.0,18.0,turn_anchored,10.36,301.2751902130279,1.36,19.36,18.0,0.0,False,1.11,21.69,20.58,2.5799999999999983,1,
SWEAT_014DTG1,SWEAT-014,DTG1,4204,100.0,18.0,turn_anchored,10.19,237.15266552747647,1.19,19.19,18.0,0.0,False,1.81,23.91,22.1,4.100000000000001,5,
SWEAT_014DTG2,SWEAT-014,DTG2,2951,100.0,19.0,turn_anchored,12.82,239.23933292505353,3.32,22.32,19.0,0.0,False,2.03,24.75,22.72,3.719999999999999,2,
SWEAT_014DTG3,SWEAT-014,DTG3,2440,100.0,20.0,turn_anchored,10.2,254.9381170425698,0.2,20.2,20.0,0.0,False,1.27,20.71,19.44,-0.5599999999999987,2,
SWEAT_015DTG TRIAL,SWEAT-015,DTG_TRIAL,2004,100.0,17.0,turn_anchored,7.15,251.93341822548925,0.0,15.65,15.65,-1.3499999999999996,True,0.0,12.06,12.06,-4.9399999999999995,2,
SWEAT_015DTG1,SWEAT-015,DTG1,1534,100.0,15.0,turn_anchored,7.11,370.1365221674463,0.0,14.61,14.61,-0.39000000000000057,True,0.39,9.5,9.11,-5.890000000000001,2,
